,ts,open,high,low,close,vol
0,1751537700000,109959.56,109959.57,109683.29,109683.3,79.55038
1,1751538000000,109683.29,109804.0,109628.08,109734.65,101.17257
2,1751538300000,109734.65,109775.76,109689.57,109750.51,49.85031
3,1751538600000,109750.51,109757.05,109695.61,109736.95,46.2931
4,1751538900000,109736.95,109786.01,109700.01,109747.03,48.93794
5,1751539200000,109747.03,109832.61,109747.02,109784.26,44.14276
6,1751539500000,109784.26,109784.27,109678.61,109690.61,21.43303
7,1751539800000,109690.61,109877.26,109690.6,109858.0,34.06591
8,1751540100000,109858.01,109871.05,109826.5,109839.37,12.65652
9,1751540400000,109839.38,109839.38,109771.73,109832.0,26.53709
10,1751540700000,109832.01,109832.01,109650.1,109650.1,23.144
11,1751541000000,109650.1,109718.31,109647.99,109657.4,38.87922
12,1751541300000,109657.39,109713.01,109634.72,109713.01,18.39173
13,1751541600000,109713.01,109733.92,109669.68,109673.45,31.52718
14,1751541900000,109673.44,109673.45,109634.73,109634.73,16.25563
15,1751542200000,109634.74,109639.13,109593.28,109622.96,26.30968
16,1751542500000,109622.96,109687.28,109622.96,109659.0,11.87774
17,1751542800000,109659.0,109711.54,109648.55,109658.32,20.89848
18,1751543100000,109658.32,109658.33,109620.0,109643.23,14.42083
19,1751543400000,109643.24,109691.21,109643.23,109652.66,10.38073
20,1751543700000,109652.67,109652.67,109584.61,109599.19,16.92792
21,1751544000000,109599.18,109618.12,109477.04,109548.45,57.59643
22,1751544300000,109548.44,109638.12,109520.0,109623.54,36.46305
23,1751544600000,109623.54,109623.55,109501.99,109570.43,29.72935
24,1751544900000,109570.43,109621.13,109554.17,109608.72,20.35107
25,1751545200000,109608.73,109608.73,109558.66,109562.38,25.08863
26,1751545500000,109562.39,109608.96,109556.89,109608.96,33.52115
27,1751545800000,109608.96,109916.0,109280.0,109297.0,304.25436
28,1751546100000,109297.0,109475.82,108894.39,108934.0,193.1227
29,1751546400000,108934.0,109070.01,108800.0,108941.86,145.37738
30,1751546700000,108941.87,108970.32,108766.0,108766.0,64.63022
31,1751547000000,108766.0,109067.86,108749.99,109012.75,129.11146
32,1751547300000,109012.75,109200.0,109012.75,109167.99,63.46633
33,1751547600000,109168.0,109313.07,109133.3,109246.38,54.37552
34,1751547900000,109246.38,109364.65,109180.0,109282.0,43.06403
35,1751548200000,109282.0,109393.41,109267.2,109339.84,34.57161
36,1751548500000,109339.84,109388.46,109225.01,109267.61,47.36116
37,1751548800000,109267.61,109358.0,109250.67,109285.46,35.13274
38,1751549100000,109285.46,109326.42,109271.21,109315.37,36.91869
39,1751549400000,109315.36,109862.31,109315.36,109811.72,119.12195
40,1751549700000,109811.72,110060.0,109720.59,109893.7,196.15444
41,1751550000000,109893.7,110100.0,109758.15,110076.98,99.13416
42,1751550300000,110076.98,110378.0,109900.0,110309.57,309.28792
43,1751550600000,110309.57,110450.0,110134.61,110328.08,215.14966
44,1751550900000,110328.07,110529.18,110208.72,110255.63,255.21519
45,1751551200000,110255.64,110499.6,110199.0,110287.08,200.05076
46,1751551500000,110287.09,110478.19,109998.18,110124.06,135.66583
47,1751551800000,110124.06,110205.0,109905.92,109949.32,78.83605
48,1751552100000,109949.32,110250.01,109923.07,110242.91,96.55808
49,1751552400000,110242.92,110374.32,110194.61,110234.55,58.77208
50,1751552700000,110234.55,110234.56,109855.86,109905.99,75.25255
51,1751553000000,109905.98,109920.36,109606.21,109827.19,131.31694
52,1751553300000,109827.19,109944.69,109800.33,109843.39,79.39431
53,1751553600000,109843.39,109921.79,109804.67,109860.66,40.79768
54,1751553900000,109860.67,109866.2,109725.79,109755.81,24.01018
55,1751554200000,109755.8,109770.01,109564.96,109570.0,53.31623
56,1751554500000,109570.0,109732.0,109560.0,109718.57,25.06314
57,1751554800000,109718.57,109833.3,109463.24,109480.02,49.21706
58,1751555100000,109480.01,109531.06,109333.33,109428.33,84.63582
59,1751555400000,109428.33,109532.96,109373.07,109468.78,34.31683
60,1751555700000,109468.77,109525.1,109400.48,109464.19,31.94625
61,1751556000000,109464.2,109584.0,109300.0,109537.02,67.22987
62,1751556300000,109537.02,109651.4,109537.01,109554.14,30.81073
63,1751556600000,109554.14,109632.37,109281.59,109300.0,68.95291
64,1751556900000,109281.59,109438.1,109119.23,109362.03,115.78802
65,1751557200000,109362.03,109440.0,109288.46,109294.36,52.72504
66,1751557500000,109294.36,109300.0,109181.34,109288.46,45.48328
67,1751557800000,109288.47,109291.91,109181.78,109254.99,34.9119
68,1751558100000,109254.99,109255.0,109107.0,109127.84,38.47516
69,1751558400000,109127.85,109255.39,109089.18,109089.18,88.29157
70,1751558700000,109089.18,109135.97,109020.8,109103.99,56.99814
71,1751559000000,109104.0,109367.29,109103.99,109330.21,39.36917
72,1751559300000,109330.2,109330.21,109115.42,109154.0,45.01619
73,1751559600000,109154.0,109174.37,109088.0,109159.6,24.87396
74,1751559900000,109159.59,109227.57,109089.0,109173.78,34.96448
75,1751560200000,109173.78,109259.64,109150.0,109250.0,28.78736
76,1751560500000,109250.0,109319.5,109166.47,109319.5,44.96184
77,1751560800000,109319.5,109398.68,109310.0,109369.83,40.95288
78,1751561100000,109370.99,109683.19,109370.98,109669.23,93.89323
79,1751561400000,109669.24,109677.13,109178.01,109294.85,47.4531
80,1751561700000,109294.85,109479.83,109288.46,109288.46,39.18846
81,1751562000000,109288.47,109457.7,109278.41,109419.08,63.32225
82,1751562300000,109419.08,109457.7,109405.5,109450.24,75.46925
83,1751562600000,109450.24,109559.49,109410.85,109559.49,35.51493
84,1751562900000,109559.49,109655.7,109504.89,109617.38,50.38954
85,1751563200000,109617.37,109630.2,109415.39,109419.15,50.14192
86,1751563500000,109419.15,109483.35,109419.15,109455.99,25.41792
87,1751563800000,109455.99,109536.0,109455.99,109535.99,12.57564
88,1751564100000,109536.0,109540.0,109480.0,109539.99,16.5604
